No,名前,画面ID,ソフィア開発環境,検証環境3URL,本番用URL
14,よくある質問／予約商品について,faq02_05,http://msp2.sophia-s.co.jp/sp/faq02_05.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq02_05?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq02_05?uiel=Mobile
15,よくある質問／施設での取扱について,faq02_06,http://msp2.sophia-s.co.jp/sp/faq02_06.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq02_06?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq02_06?uiel=Mobile
16,よくある質問／利用登録をしない注文について,faq03_01,http://msp2.sophia-s.co.jp/sp/faq03_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq03_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq03_01?uiel=Mobile
17,よくある質問／ショッピングカートについて,faq03_02,http://msp2.sophia-s.co.jp/sp/faq03_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq03_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq03_02?uiel=Mobile
18,よくある質問／お支払方法について,faq04_01,http://msp2.sophia-s.co.jp/sp/faq04_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq04_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq04_01?uiel=Mobile
19,よくある質問／クレジット払いについて,faq04_02,http://msp2.sophia-s.co.jp/sp/faq04_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq04_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq04_02?uiel=Mobile
20,よくある質問／コンビニ支払いについて,faq04_04,http://msp2.sophia-s.co.jp/sp/faq04_04.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq04_04?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq04_04?uiel=Mobile
21,よくある質問／ペイジー払いについて,faq04_05,http://msp2.sophia-s.co.jp/sp/faq04_05.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq04_05?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq04_05?uiel=Mobile
22,よくある質問／手数料について,faq05_01,http://msp2.sophia-s.co.jp/sp/faq05_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq05_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq05_01?uiel=Mobile
23,よくある質問／代引き手数料について,faq05_02,http://msp2.sophia-s.co.jp/sp/faq05_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq05_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq05_02?uiel=Mobile
24,よくある質問／返品手数料について,faq05_03,http://msp2.sophia-s.co.jp/sp/faq05_03.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq05_03?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq05_03?uiel=Mobile
25,よくある質問／返金について,faq05_04,http://msp2.sophia-s.co.jp/sp/faq05_04.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq05_04?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq05_04?uiel=Mobile
26,よくある質問／配送料について,faq05_05,http://msp2.sophia-s.co.jp/sp/faq05_05.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq05_05?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq05_05?uiel=Mobile
27,よくある質問／配送方法・配送先について,faq06_01,http://msp2.sophia-s.co.jp/sp/faq06_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq06_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq06_01?uiel=Mobile
28,よくある質問／配送日時・配送状況について,faq06_02,http://msp2.sophia-s.co.jp/sp/faq06_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq06_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq06_02?uiel=Mobile
29,よくある質問／商品の複数購入について,faq06_03,http://msp2.sophia-s.co.jp/sp/faq06_03.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq06_03?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq06_03?uiel=Mobile
30,よくある質問／商品の受取について,faq06_04,http://msp2.sophia-s.co.jp/sp/faq06_04.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq06_04?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq06_04?uiel=Mobile
31,よくある質問／再配送・誤配送について,faq06_05,http://msp2.sophia-s.co.jp/sp/faq06_05.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq06_05?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq06_05?uiel=Mobile
32,よくある質問／注文履歴について,faq07_01,http://msp2.sophia-s.co.jp/sp/faq07_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq07_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq07_01?uiel=Mobile
33,よくある質問／領収書について,faq07_02,http://msp2.sophia-s.co.jp/sp/faq07_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq07_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq07_02?uiel=Mobile
34,よくある質問／返品・交換について,faq08_01,http://msp2.sophia-s.co.jp/sp/faq08_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq08_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq08_01?uiel=Mobile
35,よくある質問／注文内容変更・キャンセルについて,faq08_02,http://msp2.sophia-s.co.jp/sp/faq08_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq08_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq08_02?uiel=Mobile
36,よくある質問／（再入荷リクエストについて）,faq09_01,http://msp2.sophia-s.co.jp/sp/faq09_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq09_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq09_01?uiel=Mobile
37,よくある質問／メール配信の内容について,faq10_01,http://msp2.sophia-s.co.jp/sp/faq10_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq10_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq10_01?uiel=Mobile
38,よくある質問／メール配信の申し込み・停止について,faq10_02,http://msp2.sophia-s.co.jp/sp/faq10_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq10_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq10_02?uiel=Mobile
39,よくある質問／メールの受信について,faq10_03,http://msp2.sophia-s.co.jp/sp/faq10_03.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq10_03?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq10_03?uiel=Mobile
40,よくある質問／（クーポンの利用について）,faq11_01,http://msp2.sophia-s.co.jp/sp/faq11_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq11_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq11_01?uiel=Mobile
41,よくある質問／（アプリについて）,faq12_01,http://msp2.sophia-s.co.jp/sp/faq12_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq12_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq12_01?uiel=Mobile
42,よくある質問／利用登録について,faq13_01,http://msp2.sophia-s.co.jp/sp/faq13_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq13_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq13_01?uiel=Mobile
43,よくある質問／利用情報変更について,faq13_02,http://msp2.sophia-s.co.jp/sp/faq13_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq13_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq13_02?uiel=Mobile
44,よくある質問／ログインについて,faq13_03,http://msp2.sophia-s.co.jp/sp/faq13_03.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq13_03?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq13_03?uiel=Mobile
45,よくある質問／会員サービスについて,faq13_05,http://msp2.sophia-s.co.jp/sp/faq13_05.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq13_05?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq13_05?uiel=Mobile
46,よくある質問／三井ショッピングパーク スペシャルメンバーについて,faq13_06,http://msp2.sophia-s.co.jp/sp/faq13_06.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq13_06?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq13_06?uiel=Mobile
47,よくある質問／退会について,faq13_07,http://msp2.sophia-s.co.jp/sp/faq13_07.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq13_07?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq13_07?uiel=Mobile
48,よくある質問／ポイント取得・付与について,faq14_01,http://msp2.sophia-s.co.jp/sp/faq14_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq14_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq14_01?uiel=Mobile
49,よくある質問／ポイント利用について,faq14_02,http://msp2.sophia-s.co.jp/sp/faq14_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq14_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq14_02?uiel=Mobile
50,よくある質問／ポイントカードについて,faq14_03,http://msp2.sophia-s.co.jp/sp/faq14_03.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq14_03?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq14_03?uiel=Mobile
51,よくある質問／ショップポイントについて,faq14_04,http://msp2.sophia-s.co.jp/sp/faq14_04.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq14_04?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq14_04?uiel=Mobile
52,よくある質問／（お気に入りにアイテムついて）,faq15_02,http://msp2.sophia-s.co.jp/sp/faq15_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_02?uiel=Mobile
53,よくある質問／（店舗での取置について）,faq15_03,http://msp2.sophia-s.co.jp/sp/faq15_03.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_03?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_03?uiel=Mobile
54,よくある質問／（修理について）,faq15_04,http://msp2.sophia-s.co.jp/sp/faq15_04.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_04?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_04?uiel=Mobile
55,よくある質問／お直しについて,faq15_10,http://msp2.sophia-s.co.jp/sp/faq15_10.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_10?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_10?uiel=Mobile
56,よくある質問／（ラッピングについて）,faq15_05,http://msp2.sophia-s.co.jp/sp/faq15_05.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_05?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_05?uiel=Mobile
57,よくある質問／（駐車サービスについて）,faq15_06,http://msp2.sophia-s.co.jp/sp/faq15_06.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_06?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_06?uiel=Mobile
58,よくある質問／（お買い上げ明細書について）,faq15_07,http://msp2.sophia-s.co.jp/sp/faq15_07.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_07?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_07?uiel=Mobile
59,よくある質問／&mallデスクについて,faq15_08,http://msp2.sophia-s.co.jp/sp/faq15_08.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_08?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_08?uiel=Mobile
60,よくある質問／レビューについて,faq15_09,http://msp2.sophia-s.co.jp/sp/faq15_09.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq15_09?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq15_09?uiel=Mobile
61,オンライン試着(VIRTUSIZE) ご利用ガイド,mspf1391,http://msp2.sophia-s.co.jp/sp/mspf1391.html,https://www3.test-mitsui-shopping-park.com/ec/sp/virtusize?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/virtusize?uiel=Mobile
62,&mallデスクのご案内,mspf1392,http://msp2.sophia-s.co.jp/sp/mspf1392.html,https://www3.test-mitsui-shopping-park.com/ec/sp/desk?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/desk?uiel=Mobile
63,会社概要,mspf1382,http://msp2.sophia-s.co.jp/sp/mspf1382.html,https://www3.test-mitsui-shopping-park.com/ec/sp/company?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/company?uiel=Mobile
64,カテゴリー一覧,mspf0708,http://msp2.sophia-s.co.jp/sp/mspf0708.html,https://www3.test-mitsui-shopping-park.com/ec/sp/list/category?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/list/category?uiel=Mobile
